Traffic Volume Count Location  Address,Street,Latitude,Longitude,Location,Vehicle Volume By Each Direction of Traffic
3311 South,Michigan Ave,41.834369,-87.623323,"(41.834369, -87.623323)",South Bound: 8100/ Oneway South Bound
3721 South,Michigan Ave,41.826807,-87.623149,"(41.826807, -87.623149)",South Bound: 8000/ Oneway South Bound
4563 South,Michigan Ave,41.811191,-87.622886,"(41.811191, -87.622886)",South Bound: 7900/ Oneway South Bound
5352 South,Michigan Ave,41.796652,-87.622518,"(41.796652, -87.622518)",South Bound: 7900/ Oneway South Bound
9642 South,Michigan Ave,41.718658,-87.620521,"(41.718658, -87.620521)",North Bound: 3600 / South Bound: 4500
6848 South,South Shore Dr,41.770241,-87.566558,"(41.770241, -87.566558)",North Bound: 17900 / South Bound: 17200
7732 South,South Shore Dr,41.756313,-87.552698,"(41.756313, -87.552698)",North Bound: 8100 / South Bound: 8300
2425 East,South Shore Dr,41.766314,-87.565472,"(41.766314, -87.565472)",North Bound: 8600 / South Bound: 8700
1420 South,State St,41.863436,-87.62733,"(41.863436, -87.62733)",North Bound: 13500 / South Bound: 9600
3333 South,State St,41.833661,-87.626468,"(41.833661, -87.626468)",North Bound: 6700 / South Bound: 3400
4605 South,State St,41.810903,-87.626128,"(41.810903, -87.626128)",North Bound: 11200 / South Bound: 10300
5625 South,State St,41.792077,-87.625634,"(41.792077, -87.625634)",North Bound: 8800 / South Bound: 7300
6416 South,State St,41.777072,-87.62526,"(41.777072, -87.62526)",North Bound: 8800 / South Bound: 10500
7539 South,State St,41.757046,-87.624736,"(41.757046, -87.624736)",North Bound: 12500 / / Oneway North Bound
8149 South,State St,41.745812,-87.624391,"(41.745812, -87.624391)",North Bound: 7500 / / Oneway North Bound
9124 South,State St,41.728281,-87.623913,"(41.728281, -87.623913)",North Bound: 4900 / / Oneway North Bound
9940 South,State St,41.713246,-87.623646,"(41.713246, -87.623646)",North Bound: 4400 / South Bound: 2900
2130 South,Wentworth Ave,41.853156,-87.631785,"(41.853156, -87.631785)",North Bound: 2300 / South Bound: 2200
6629 South,Wentworth Ave,41.773651,-87.629987,"(41.773651, -87.629987)",North Bound: 2800 / South Bound: 4300
9532 South,Wentworth Ave,41.720659,-87.628638,"(41.720659, -87.628638)",North Bound: 2800 / South Bound: 2100
3430 South,Archer Ave,41.831501,-87.67584,"(41.831501, -87.67584)",North Bound: 11300 / South Bound: 12100
2140 South,Archer Ave,41.853553,-87.633392,"(41.853553, -87.633392)",North Bound: 5200 / South Bound: 6600
4709 South,Archer Ave,41.807818,-87.714468,"(41.807818, -87.714468)",North Bound: 13600 / South Bound: 14200
2345 South,Archer Ave,41.849975,-87.64032,"(41.849975, -87.64032)",North Bound: 7100 / South Bound: 6200
3247 South,Archer Ave,41.835106,-87.669954,"(41.835106, -87.669954)",North Bound: 8200 / South Bound: 6900
